timestamp,detection_id,src_ip,dst_ip,dst_port,protocol,packet_size,ml_prediction,flow_prediction,final_classification,confidence,severity,detection_method,verified_label,verified_by,verification_timestamp,verification_reasoning,notes
2026-05-03T21:56:26.073850,e8978eb74d1f,172.30.88.247,144.208.125.220,443,TCP,74,DDOS,DDOS,DDOS,0.85,CRITICAL,hybrid,,,,,
2026-05-03T21:56:24.250016,0bdf0b053a43,172.30.88.247,144.208.125.220,443,TCP,74,DOS,DOS,DOS,0.9,CRITICAL,hybrid,,,,,
2026-05-03T21:56:18.043834,f656f2eee962,172.30.88.247,144.208.125.220,443,TCP,74,DOS,DOS,DOS,0.9,CRITICAL,hybrid,,,,,
2026-05-03T21:56:16.085823,b53b889ed0b1,172.30.88.247,144.208.125.220,3306,TCP,74,DDOS,DDOS,DDOS,0.85,CRITICAL,hybrid,,,,,
2026-05-03T21:56:13.997959,500444f5ec39,172.30.88.247,144.208.125.220,443,TCP,74,DOS,DOS,DOS,0.9,CRITICAL,hybrid,,,,,
2026-05-03T21:54:23.168508,bb2de2226851,172.30.88.247,144.208.125.220,21,TCP,74,BRUTE_FORCE,BRUTE_FORCE,BRUTE_FORCE,0.88,HIGH,hybrid,,,,,
2026-05-03T21:51:32.194711,bca748a60bb1,20.26.156.215,172.30.88.247,51220,TCP,54,DDOS,DDOS,DDOS,0.85,CRITICAL,hybrid,,,,,
2026-05-03T21:51:28.338980,c29cc9a8f011,172.30.88.247,144.208.125.220,3306,TCP,74,BRUTE_FORCE,BRUTE_FORCE,BRUTE_FORCE,0.88,HIGH,hybrid,,,,,
2026-05-03T21:51:20.149908,1e2fe73a9aa0,172.30.88.247,144.208.125.220,3306,TCP,74,DDOS,DDOS,DDOS,0.85,CRITICAL,hybrid,,,,,
2026-05-03T21:51:14.005701,e35a56c0447d,172.30.88.247,144.208.125.220,3306,TCP,74,DOS,DOS,DOS,0.9,CRITICAL,hybrid,,,,,
2026-05-03T21:50:54.485044,3fe688666f8c,172.30.88.247,144.208.125.220,80,TCP,74,DOS,DOS,DOS,0.9,CRITICAL,hybrid,,,,,
2026-05-03T21:50:52.001405,b903984e1d43,172.30.88.247,144.208.125.220,80,TCP,240,DDOS,DDOS,DDOS,0.85,CRITICAL,hybrid,,,,,
2026-05-03T21:50:46.905235,8f4f0485a236,172.30.88.247,144.208.125.220,443,TCP,74,DOS,DOS,DOS,0.9,CRITICAL,hybrid,,,,,
